codigo;codigo_formatado;descricao;data_inicio;data_fim;tipo_orgao_ato_ini;numero_ato_ini;ano_ato_ini;source_id;data_ultima_alteracao;snapshot_gerado_em
03023300;0302.33.00;-- Bonito-listrado (Gaiado*) (<i>Katsuwonus pelamis</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03023400;0302.34.00;-- Albacora-bandolim (atum) (<i>Thunnus obesus</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03023500;0302.35.00;-- Atuns-azuis (atuns) (<i>Thunnus thynnus, Thunnus orientalis</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03023600;0302.36.00;-- Atum-azul do sul (atum) (<i>Thunnus maccoyii</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03023900;0302.39.00;-- Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03024100;0302.41.00;-- Arenques (<i>Clupea harengus, Clupea pallasii</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03024210;0302.42.10;Anchoita (<i>Engraulis anchoita</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03024290;0302.42.90;Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03024300;0302.43.00;-- Sardinhas (<i>Sardina pilchardus, Sardinops</i> spp., <i>Sardinella</i> spp.) (Sardinha (<i>Sardina pilchardus</i>) e sardinelas (<i>Sardinops</i> spp., <i>Sardinella</i> spp.)*), anchoveta (espadilha*) (<i>Sprattus sprattus</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03024400;0302.44.00;-- Cavalinhas (Sardas e cavalas*) (<i>Scomber scombrus, Scomber australasicus, Scomber japonicus</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03024500;0302.45.00;-- Carapaus (<i>Trachurus</i> spp.);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03024600;0302.46.00;-- Bijupirá (Cobia*) (<i>Rachycentron canadum</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
